Invoice No.,Item Name
19393,"['South Indian Filter Kaapi (150 ML)', 'Vanilla Praline (350 ML)', 'Choco-crinkle-cookies (COMBO 3 PCS)', 'Berliners (Dark Choco Mousse Berliner)']"
19394,"['Flat White 250 Ml', 'Coconut Natkhatai (with Egg)', 'Kaapicino (350 ML)']"
19395,['Sea Salt Dark Mocha (350 ML)']
19396,"['Spicy Banana Chips 60 Gm', 'Cappucino (250 ML)']"
19397,['Cappucino (350 Ml)']
19398,"['Classic Frappe (350 ML)', 'Chicken Calzone', 'Baked Pav Bhaji', 'Hyderabadi Chicken Keema Pav']"
19399,['South Indian Filter Kaapi (250 ML)']
19400,['Classic Frappe (350 ML)']
19401,"['Origanal South Indian Frappe (450 ML)', 'Pappa Roti (Plain)']"
19402,['Iced Latte (350 ML)']
19403,['Vietnamese (450 ML)']
19404,"['Cappucino (250 ML)', 'Spicy Banana Chips 60 Gm']"
19405,"['Chicken Calzone', 'Espresso Tonic (Tonic Water)']"
19406,"['Vanilla Praline (350 ML)', 'Vanilla Praline (450 ML)', 'Choco-crinkle-cookies (COMBO 3 PCS)', 'Gluten Free Hazelnut Brownie']"
19407,"['Cafe Mocha (250 ML)', 'Almond Frappe (350 ML)', 'Baked Vada Pav', 'Baked Vada Pav']"
19408,"['Flat White 250 Ml', 'OAT MILK (200 ML)']"
19409,['Berliners (Nutella Berliner)']
19410,"['Origanal South Indian Frappe (350 ML)', 'Double Restritto 44 Ml']"
19411,"['Berliners (Nutella Berliner)', 'Mix Tartlet 3 Pcs (chocolate Tartlet)', 'Mix Tartlet 3 Pcs (salted Caramel tartlet)', 'Mix Tartlet 3 Pcs (Filter Kaapi Tartlet)', 'South Indian Filter Kaapi (250 ML)']"
19412,"['Origanal South Indian Frappe (350 ML)', 'South Indian Filter Kaapi (150 ML)', 'Berliner Mix 3 Pcs (Lotus Biscoff Berliner)', 'Berliner Mix 3 Pcs (Nutella Berliner)', 'Berliner Mix 3 Pcs (Dark Choco Mousse Berliner)']"
19413,['Cappucino (250 ML)']
19414,['Origanal South Indian Frappe (450 ML)']
19415,"['Hot Chocolate (250 ML)', 'Berliners (Dark Choco Mousse Berliner)']"
19416,['Sea Salt Dark Mocha (250 ML)']
19417,"['Sea Salt Dark Mocha (250 ML)', 'ALMOND MILK (200 ML)']"
19418,['Yellow Banana Chips 60 Gm']
19419,"['Cashew Nuts Nankhatai Veg', 'Coconut Nankhatai (with Egg)', 'Baba Budan Peak 250 Gm', 'Kodai Shroom 250 GM']"
19420,['Bon Bon (350 ML)']
19421,['Classic Frappe (350 Ml)']
19422,"['Madagascar Hot Chocolate (250 ML)', 'OAT MILK (200 ML)']"
19423,['Hazelnut Frappe (350 ML)']
19424,['Americano (250 ML)']
19425,"['Cafe Mocha (250 ML)', 'Sea Salt Dark Mocha (250 ML)']"
19426,['South Indian Filter Kaapi (250 ML)']
19427,"['Iced Latte (350 ML)', 'OAT MILK (200 ML)']"
19428,"['Americano (250 ML)', 'Iced Mocha (350 ML)']"
19429,"['Americano (250 ML)', 'South Indian Filter Kaapi (150 ML)']"
19430,"['South Indian Filter Kaapi (150 ML)', 'South Indian Filter Kaapi (150 ML)']"
19431,"['Origanal South Indian Frappe (350 ML)', 'Yellow Banana Chips 60 Gm']"
19432,"['Origanal South Indian Frappe (350 ML)', 'Sea Salt Dark Mocha Frappe (350 ML)', 'Nariyal Irish Cream Frappe (350 ML)']"
19433,['Vietnamese (450 ML)']
19434,"['Classic Frappe (350 Ml)', 'Origanal South Indian Frappe (350 Ml)']"
19435,"['Baked Vada Pav', 'Papparoti (Add On Nutella sauce)', 'Berliners (Lotus Biscoff Berliner)', 'Origanal South Indian Frappe (450 ML)', 'Origanal South Indian Frappe (350 ML)', 'Kaapicino (250 ML)', 'South Indian Filter Kaapi (250 ML)']"
19436,"['Kaapicino (350 ML)', 'Sea Salt Dark Mocha (250 ML)', 'Almond Honey Latte (250 ML)']"
19437,['Almond Frappe (350 ML)']
19438,"['Irish Americano (250 ML)', 'Vietnamese (350 ML)', 'Papparoti (Plain)']"
19439,['Origanal South Indian Frappe (350 ML)']
19440,"['Cafe Mocha (250 ML)', 'Papparoti (Add On Nutella sauce)']"
19441,['Cafe Latte (250 ML)']
19442,['Berliners (Blueberry Cheese Cake Berliner)']
19443,"['South Indian Filter Kaapi (150 ML)', 'Papparoti (Plain)', 'Madagascar Hot Chocolate (250 ML)']"
19444,['Iced Americano (450 ML)']
19445,"['Berliner Mix 3 Pcs (Dark Choco Mousse Berliner)', 'Berliner Mix 3 Pcs (Nutella Berliner)', 'Calzones Veg (Calzone Paneer)', 'Hot Chocolate (350 ML)']"
19446,"['Flat White 250 Ml', 'Cafe Latte (250 ML)']"
19447,"['Iced Americano (350 ML)', 'Cafe Mocha (250 ML)', 'Sea Salt Dark Mocha (250 ML)']"
19448,['South Indian Filter Kaapi (250 Ml)']
19449,['Papparoti (Plain)']
19450,"['Madagascar Hot Chocolate (350 ML)', 'Hot Chocolate (350 ML)']"
19451,"['Cappucino (350 ML)', 'South Indian Filter Kaapi (250 ML)', 'Classic Frappe (350 ML)']"
19452,"['Hazelnut Frappe (350 ML)', 'Classic Frappe (350 ML)', 'Cappucino (350 ML)']"
19453,"['Almond Frappe (350 ML)', 'Tartlets (chocolate Tartlet)']"
19454,"['Papparoti (Plain)', 'Baked Vada Pav', 'Berliners (Dark Choco Mousse Berliner)']"
19455,['Baked Pav Bhaji']
19456,"['Chicken Calzone', 'Hot Chocolate (250 ML)']"
19457,['Baked Vada Pav']
19458,['Kaapicino (250 Ml)']
19459,['Hyderabadi Chicken Keema Pav']
19460,['Americano (250 ML)']
19461,['Whole Wheat Ladi Pav 4 Pc']
19462,"['Americano (250 ML)', 'Yellow Banana Chips 60 Gm']"
19463,"['Calzones Veg (Calzone Veg)', 'White Loaf Bread']"
19464,['Iced Americano (450 ML)']
19465,"['Americano (250 ML)', 'Papparoti (Plain)', 'Malnad Tonic (choice Of Tonic)']"
19466,"['Calzones Veg (Calzone Paneer)', 'Baked Vada Pav', 'Baked Pav Bhaji', 'Iced Americano (350 ML)']"
19467,['Cappucino (250 ML)']
19468,"['South Indian Filter Kaapi (250 ML)', 'Hot Chocolate (250 ML)']"
19469,['South Indian Filter Kaapi (250 ML)']
19470,['Baked Vada Pav']
19471,['Flat White 250 Ml']
19472,['Cafe Mocha (250 ML)']
19473,['Classic Frappe (350 ML)']
19474,['Americano (250 ML)']
19475,['South Indian Filter Kaapi (150 ML)']
19476,['Espresso Tonic (Tonic Water)']
19477,['Irish Americano (250 Ml)']
19478,"['Origanal South Indian Frappe (350 ML)', 'Double Restritto 44 Ml']"
19479,['Classic Frappe (350 Ml)']
19480,['Nariyal Irish Cream Frappe (350 ML)']
19481,['Cappucino (250 Ml)']
19482,"['Spicy Banana Chips 60 Gm', 'Yellow Banana Chips 60 Gm']"
19483,"['Flat White 250 Ml', 'Mix Tartlet 3 Pcs (Kacha Nimbu Tartlet)']"
19484,"['Cappucino (250 ML)', 'Iced Americano (350 ML)']"
19485,['OAT MILK (200 ML)']
19486,"['Classic Frappe (350 ML)', 'Iced Latte (350 ML)']"
19487,"['Calzones Veg (Calzone Veg)', 'Choco-crinkle-cookies (with Egg) (COMBO 3 PCS)', 'Hyderabadi Chicken Keema Pav']"
19488,"['Vietnamese (350 ML)', 'Vietnamese (350 ML)']"
19489,"['Cappucino (250 ML)', 'Cafe Mocha (250 ML)', 'Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC)', 'Strawberry White Chocolate Ganache With Rosella Jam Macaroon']"
19490,"['Americano (250 ML)', 'Flat White 250 Ml']"
19491,"['Chicken Calzone', 'South Indian Filter Kaapi (150 ML)']"
19492,['Almond Honey Latte (250 ML)']
19493,['South Indian Filter Kaapi (250 ML)']
19494,['Baked Vada Pav']
19495,"['Iced Latte (350 ML)', 'OAT MILK (200 ML)', 'South Indian Filter Kaapi (150 ML)', 'Tartlets (chocolate Tartlet)']"
19496,['Hyderabadi Chicken Keema Pav']
19497,['Cafe Mocha (250 ML)']
19498,"['Chicken Calzone', 'South Indian Filter Kaapi (150 ML)']"
19499,"['Vanilla Praline (350 ML)', 'Calzones Veg (Calzone Paneer)', 'Almond Honey Latte (250 ML)']"
19500,['South Indian Filter Kaapi (250 ML)']
19501,"['Malnad Tonic (choice Of Tonic)', 'Yellow Banana Chips 60 Gm', 'Spicy Banana Chips 60 Gm', 'Papparoti (Plain)', 'Rosella Cheesecake Berliner']"
19502,"['South Indian Filter Kaapi (150 ML)', 'Choco-crinkle-cookies (COMBO 3 PCS)', 'Choco-crinkle-cookies (COMBO 3 PCS)']"
19503,"['Calzones Veg (Calzone Veg)', 'South Indian Filter Kaapi (150 ML)']"
19504,"['Origanal South Indian Frappe (350 ML)', 'Madagascar Hot Chocolate (250 ML)', 'Cashew Nuts Nankhatai Veg']"
19505,"['Tartlets (chocolate Tartlet)', 'Iced Latte (350 ML)', 'Calzones Veg (Calzone Paneer)']"
19506,['Classic Frappe (350 Ml)']
19507,['Vietnamese (450 ML)']
19508,['Nariyal Irish Cream Frappe (350 Ml)']
19509,"['Baked Pav Bhaji', 'Baked Vada Pav']"
19510,"['Baked Vada Pav', 'South Indian Filter Kaapi (250 ML)']"
19511,['Flat White 250 Ml']
19512,"['Choco-crinkle-cookies (COMBO 3 PCS)', 'Vietnamese (350 ML)', 'Caramel Frappe (350 ML)']"
19513,"['Iced Americano (350 ML)', 'Hot Chocolate (250 ML)']"
19514,"['Sea Salt Dark Mocha Frappe (350 ML)', 'Hazelnut Frappe (350 ML)']"
19515,['Papparoti (Add On Nutella sauce)']
19516,['Madagascar Hot Chocolate (250 ML)']
19517,"['Tartlets (chocolate Tartlet)', 'Hot Chocolate (250 Ml)', 'Yellow Banana Chips 60 Gm']"
19518,['South Indian Filter Kaapi (250 ML)']
19519,"['South Indian Filter Kaapi (250 ML)', 'Calzones Veg (Calzone Veg)', 'Baked Vada Pav', 'Flat White 250 Ml', 'South Indian Filter Kaapi (250 ML)']"
