Invoice No.,Item Name
20993,"['Iced Americano (350 ML)', 'Add On Syrup (Add On Irish Syrup)', 'Kaapicino (250 ML)']"
20994,"['Papparoti (Plain)', 'Nariyal Irish Cream Frappe (450 ML)']"
20995,"['Chicken Calzone', 'Mix Tartlet 3 Pcs (salted Caramel tartlet)', 'Mix Tartlet 3 Pcs (chocolate Tartlet)', 'Cold Brew', 'Sea Salt Dark Mocha (250 ML)', 'Bon Bon (350 ML)', 'Almond Honey Latte (250 ML)', 'Hazelnut Frappe (350 ML)', 'Mix Tartlet 3 Pcs (Filter Kaapi Tartlet)', 'Mix Tartlet 3 Pcs (kodai cheese tartlet)']"
20996,"['Madagascar Chocochip Frappe (350 ML)', 'Caramel Frappe (350 ML)']"
20997,['Madagascar Chocochip Frappe (350 ML)']
20998,"['Origanal South Indian Frappe (350 ML)', 'South Indian Filter Kaapi (250 ML)']"
20999,['Whole Wheat Ladi Pav 4 Pc']
21000,"['Cafe Latte (250 ML)', 'Sea Salt Dark Mocha (250 ML)', 'ALMOND MILK (200 ML)']"
21001,"['Cappucino (350 ML)', 'Almond Frappe (350 ML)', 'Madagascar Hot Chocolate (250 ML)', 'Berliners (Dark Choco Mousse Berliner)']"
21002,"['Iced Americano (350 ML)', 'Cafe Latte (250 ML)']"
21003,"['Classic Frappe (350 ML)', 'Cold Brew', 'Berliners (Nutella Berliner)']"
21004,['Spicy Banana Chips 60 Gm']
21005,"['South Indian Filter Kaapi (250 ML)', 'Origanal South Indian Frappe (350 ML)', 'Origanal South Indian Frappe (450 ML)', 'Origanal South Indian Frappe (350 ML)']"
21006,"['Aeropress', 'Iced Americano (350 ML)', 'Add On Syrup (Add On Tiramisu Syrup)', 'Baked Vada Pav']"
C2277,"['Baked Pav Bhaji', 'Baked Vada Pav']"
C2278,['South Indian Filter Kaapi (150 ML)']
C2279,"['Americano (250 ML)', 'South Indian Filter Kaapi (150 ML)', 'Papparoti (Plain)']"
C2280,"['Tartlets (Kacha Nimbu Tartlet)', 'Kaapicino (250 ML)', 'Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC)', 'Strawberry White Chocolate Ganache With Rosella Jam Macaroon', 'Whole Wheat Ladi Pav 4 Pc', 'White Loaf Bread']"
C2281,['Gluten Free Hazelnut Brownie']
C2282,"['South Indian Filter Kaapi (150 ML)', 'Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC)', 'Strawberry White Chocolate Ganache With Rosella Jam Macaroon']"
C2283,['Origanal South Indian Frappe (350 ML)']
